
--- 무선 수집 시작 (2026-07-11 20:50:13) ---
[2026-07-11 20:50:18] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-12 09:20:44] 🌡️ 온도: 26°C | 💧 습도: 2% | ☀️ 조도21
[2026-07-12 09:20:56] 🌡️ 온도: 26°C | 💧 습도: 42% | ☀️ 조도210
[2026-07-12 09:21:07] 🌡️ 온도: 26°C | 💧 습도: 42% | ☀️ 조도214
[2026-07-12 09:21:19] 🌡️ 온도: 6°C | 💧 습도: 43% | ☀️ 조도211
[2026-07-12 09:21:42] 🌡️ 온도: 26°C | 💧 습도: 43% | ☀️ 조도203
[2026-07-12 09:22:05] 🌡️ 온도: 6°C | 💧 습도: 43% | ☀️ 조도182
[2026-07-12 09:22:17] 🌡️ 온도: 26°C | 💧 습도: 43% | ☀️ 조도184
[2026-07-12 09:22:29] 🌡️ 온도: 26°C | 💧 습도: 43% | ☀️ 조도19
[2026-07-12 09:22:40] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도16
[2026-07-12 09:22:52] 🌡️ 온도: 26°C | 💧 습도: 43% | ☀️ 조도83
[2026-07-12 09:23:03] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도182
[2026-07-12 09:23:15] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도204
[2026-07-12 09:23:27] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도189
[2026-07-12 09:23:50] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-12 09:24:26] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도193
[2026-07-12 09:24:50] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도147
[2026-07-12 09:25:01] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도193
[2026-07-12 09:25:13] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도190
[2026-07-12 09:25:24] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도189
[2026-07-12 09:25:36] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도186
[2026-07-12 09:26:11] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도19
[2026-07-12 09:26:46] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도11
[2026-07-12 09:27:09] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도148
[2026-07-12 09:27:55] 🌡️ 온도: 2°C | 💧 습도: 44% | ☀️ 조도215
[2026-07-12 09:28:07] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도215
[2026-07-12 09:28:30] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도216
[2026-07-12 09:28:42] 🌡️ 온도: 26°C | 💧 습도: 44% | ☀️ 조도204
[2026-07-12 09:29:17] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도22
[2026-07-12T09:29:51] temperature=26.0C | humidity=45.0% | lux=219.0
[2026-07-12T09:30:03] temperature=26.0C | humidity=44.0% | lux=19.0
[2026-07-12T09:30:15] temperature=26.0C | humidity=44.0% | lux=217.0
[2026-07-12T09:30:26] temperature=26.0C | humidity=44.0% | lux=215.0
[2026-07-12T09:30:38] temperature=26.0C | humidity=44.0% | lux=221.0
[2026-07-12T09:31:13] temperature=26.0C | humidity=44.0% | lux=213.0
[2026-07-12T09:31:24] temperature=26.0C | humidity=44.0% | lux=217.0
[2026-07-12T09:31:36] temperature=26.0C | humidity=44.0% | lux=213.0
[2026-07-12T09:31:48] temperature=26.0C | humidity=44.0% | lux=218.0
[2026-07-12T09:31:59] temperature=26.0C | humidity=44.0% | lux=219.0
[2026-07-12T09:32:11] temperature=26.0C | humidity=44.0% | lux=219.0
[2026-07-12T09:32:22] temperature=26.0C | humidity=44.0% | lux=219.0
[2026-07-12T09:32:34] temperature=26.0C | humidity=44.0% | lux=216.0
[2026-07-12T09:32:57] temperature=26.0C | humidity=44.0% | lux=205.0
[2026-07-12T09:33:09] temperature=26.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:33:20] temperature=25.0C | humidity=45.0% | lux=201.0
[2026-07-12T09:33:32] temperature=25.0C | humidity=45.0% | lux=197.0
[2026-07-12T09:33:44] temperature=25.0C | humidity=45.0% | lux=219.0
[2026-07-12T09:33:55] temperature=25.0C | humidity=46.0% | lux=191.0
[2026-07-12T09:34:07] temperature=25.0C | humidity=45.0% | lux=213.0
[2026-07-12T09:34:18] temperature=25.0C | humidity=45.0% | lux=211.0
[2026-07-12T09:34:30] temperature=25.0C | humidity=45.0% | lux=212.0
[2026-07-12T09:34:42] temperature=25.0C | humidity=44.0% | lux=199.0
[2026-07-12T09:34:53] temperature=25.0C | humidity=44.0% | lux=212.0
[2026-07-12T09:35:05] temperature=26.0C | humidity=44.0% | lux=209.0
[2026-07-12T09:35:17] temperature=26.0C | humidity=44.0% | lux=218.0
[2026-07-12T09:35:28] temperature=26.0C | humidity=44.0% | lux=221.0
[2026-07-12T09:35:40] temperature=26.0C | humidity=44.0% | lux=216.0
[2026-07-12T09:35:51] temperature=26.0C | humidity=44.0% | lux=216.0
[2026-07-12T09:36:03] temperature=26.0C | humidity=44.0% | lux=223.0
[2026-07-12T09:36:29] temperature=25.0C | humidity=44.0% | lux=220.0
[2026-07-12T09:36:40] temperature=25.0C | humidity=44.0% | lux=218.0
[2026-07-12T09:36:51] temperature=25.0C | humidity=44.0% | lux=217.0
[2026-07-12T09:37:03] temperature=25.0C | humidity=44.0% | lux=217.0
[2026-07-12T09:37:14] temperature=25.0C | humidity=44.0% | lux=216.0
[2026-07-12T09:37:26] temperature=25.0C | humidity=44.0% | lux=208.0
[2026-07-12T09:37:38] temperature=25.0C | humidity=45.0% | lux=215.0
[2026-07-12T09:37:49] temperature=25.0C | humidity=45.0% | lux=202.0
[2026-07-12T09:38:01] temperature=25.0C | humidity=45.0% | lux=204.0
[2026-07-12T09:38:12] temperature=25.0C | humidity=45.0% | lux=203.0
[2026-07-12T09:38:24] temperature=26.0C | humidity=44.0% | lux=134.0
[2026-07-12T09:38:36] temperature=26.0C | humidity=44.0% | lux=215.0
[2026-07-12T09:38:59] temperature=26.0C | humidity=44.0% | lux=86.0
[2026-07-12T09:39:10] temperature=26.0C | humidity=44.0% | lux=128.0
[2026-07-12T09:39:22] temperature=26.0C | humidity=44.0% | lux=148.0
[2026-07-12T09:39:34] temperature=25.0C | humidity=45.0% | lux=151.0
[2026-07-12T09:39:45] temperature=25.0C | humidity=45.0% | lux=9.0
[2026-07-12T09:39:57] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:40:09] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:40:34] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:40:45] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:40:57] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:41:08] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:41:20] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:41:32] temperature=25.0C | humidity=47.0% | lux=0.0
[2026-07-12T09:41:43] temperature=25.0C | humidity=51.0% | lux=0.0
[2026-07-12T09:41:55] temperature=25.0C | humidity=52.0% | lux=0.0
[2026-07-12T09:42:06] temperature=25.0C | humidity=48.0% | lux=0.0
[2026-07-12T09:42:18] temperature=25.0C | humidity=47.0% | lux=0.0
[2026-07-12T09:42:30] temperature=25.0C | humidity=46.0% | lux=0.0
[2026-07-12T09:42:41] temperature=25.0C | humidity=46.0% | lux=0.0
[2026-07-12T09:42:53] temperature=25.0C | humidity=46.0% | lux=0.0
[2026-07-12T09:43:04] temperature=25.0C | humidity=45.0% | lux=0.0
[2026-07-12T09:43:16] temperature=25.0C | humidity=45.0% | lux=171.0
[2026-07-12T09:43:28] temperature=25.0C | humidity=47.0% | lux=207.0
[2026-07-12T09:43:39] temperature=26.0C | humidity=47.0% | lux=0.0
[2026-07-12T09:43:51] temperature=26.0C | humidity=48.0% | lux=200.0
[2026-07-12T09:44:03] temperature=26.0C | humidity=47.0% | lux=197.0
[2026-07-12T09:44:14] temperature=27.0C | humidity=46.0% | lux=0.0
[2026-07-12T09:44:26] temperature=27.0C | humidity=45.0% | lux=193.0
[2026-07-12T09:44:37] temperature=27.0C | humidity=44.0% | lux=183.0
[2026-07-12T09:44:49] temperature=27.0C | humidity=42.0% | lux=216.0
[2026-07-12T09:45:01] temperature=27.0C | humidity=42.0% | lux=246.0
[2026-07-12T09:45:12] temperature=27.0C | humidity=42.0% | lux=242.0
